Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO,year
1,Ohio State,9,8.6,13.2,25.4,52.0,126.6,0.6,35.2,88.7,2.5,0.3,60.7,215.2,3.5,5.1,7.0,2.0,14.1,5.7,50.2,0.9,1.2,2.1,2019
2,Georgia,9,10.1,18.8,33.3,56.3,185.8,0.9,26.8,74.9,2.8,0.0,60.1,260.7,4.3,8.0,4.4,1.9,14.3,7.1,51.6,0.4,0.7,1.1,2019
3,Clemson,10,11.5,11.8,24.9,47.4,137.2,0.6,37.5,114.3,3.0,0.7,62.4,251.5,4.0,5.3,5.9,1.3,12.5,5.8,54.4,1.1,1.1,2.2,2019
4,Iowa,9,11.7,17.6,30.2,58.1,176.9,1.0,30.6,112.4,3.7,0.3,60.8,289.3,4.8,8.6,6.0,0.6,15.0,6.2,52.2,0.6,0.8,1.3,2019
5,Penn State,9,12.0,19.8,34.2,57.8,225.8,0.8,34.7,74.7,2.2,0.7,68.9,300.4,4.4,9.7,5.1,1.9,16.7,6.0,45.4,0.8,0.9,1.7,2019
6,Utah,9,12.2,18.8,33.6,56.0,190.3,1.1,22.8,56.2,2.5,0.3,56.3,246.6,4.4,8.4,3.7,1.4,13.6,5.4,47.0,0.4,1.2,1.7,2019
7,Wisconsin,9,12.6,13.3,28.7,46.5,147.0,1.0,28.9,86.3,3.0,0.6,57.6,233.3,4.1,6.4,5.0,2.0,13.4,4.3,30.2,0.9,0.9,1.8,2019
8,San Diego State,10,13.7,19.9,32.9,60.5,204.2,0.9,27.0,65.9,2.4,0.6,59.9,270.1,4.5,8.5,4.5,1.3,14.3,5.3,42.4,0.6,1.2,1.8,2019
9,Florida,10,15.0,16.6,28.5,58.2,191.9,1.0,33.6,119.4,3.6,0.7,62.1,311.3,5.0,8.7,6.5,1.3,16.5,7.6,62.4,0.7,1.4,2.1,2019
10,Oregon,9,15.8,21.3,37.6,56.8,213.3,1.3,31.1,102.2,3.3,0.3,68.7,315.6,4.6,10.3,6.0,2.7,19.0,8.1,71.1,0.3,1.9,2.2,2019
11,Louisiana,9,17.1,17.3,30.0,57.8,191.3,0.8,37.2,146.7,3.9,1.1,67.2,338.0,5.0,8.8,9.3,2.3,20.4,4.6,40.7,0.6,0.8,1.3,2019
12,Michigan,9,17.1,14.7,25.9,56.7,153.6,0.9,38.9,114.0,2.9,1.3,64.8,267.6,4.1,7.1,7.1,1.7,15.9,7.7,64.4,1.0,0.7,1.7,2019
13,Auburn,9,17.4,21.1,36.7,57.6,221.4,1.2,33.7,112.7,3.3,0.9,70.3,334.1,4.8,9.9,6.4,2.7,19.0,7.1,60.3,1.2,0.6,1.8,2019
14,Wyoming,9,17.9,23.2,40.7,57.1,278.2,1.1,34.3,97.6,2.8,0.9,75.0,375.8,5.0,13.3,6.6,1.8,21.7,5.3,44.9,0.8,0.9,1.7,2019
15,Navy,8,18.1,15.8,29.8,52.9,201.3,1.0,33.6,109.6,3.3,1.0,63.4,310.9,4.9,7.9,6.5,1.1,15.5,5.1,38.9,0.8,0.9,1.6,2019
16,Alabama,9,18.7,19.6,33.6,58.3,203.8,1.4,35.2,132.0,3.7,0.7,68.8,335.8,4.9,10.1,7.3,2.4,20.0,5.7,48.2,1.0,1.1,2.1,2019
17,Baylor,9,19.0,20.8,35.4,58.6,210.3,0.8,37.7,127.1,3.4,1.3,73.1,337.4,4.6,10.6,7.1,1.6,19.0,6.3,60.7,0.9,1.1,2.0,2019
18,Appalachian State,9,19.1,16.3,29.2,55.9,182.9,1.3,37.2,148.6,4.0,1.1,66.4,331.4,5.0,8.7,7.2,2.2,18.1,6.7,50.1,0.6,0.8,1.3,2019
19,Missouri,9,19.1,13.0,26.7,48.8,147.7,1.0,37.1,140.1,3.8,1.2,63.8,287.8,4.5,6.3,6.6,2.1,15.0,5.4,50.3,0.7,0.9,1.6,2019
20,Miami (FL),10,19.2,16.9,29.6,57.1,205.9,1.2,35.2,105.0,3.0,0.9,64.8,310.9,4.8,8.2,6.2,2.7,17.1,7.6,63.3,0.9,0.9,1.8,2019
21,Notre Dame,9,19.2,16.0,29.0,55.2,171.8,1.1,39.1,157.3,4.0,1.0,68.1,329.1,4.8,8.2,8.7,1.3,18.2,5.7,48.1,1.1,0.9,2.0,2019
22,UAB,9,19.7,14.7,27.4,53.4,163.0,1.2,33.2,101.6,3.1,1.0,60.7,264.6,4.4,5.8,5.0,3.1,15.2,5.0,43.2,1.4,0.3,1.8,2019
23,Indiana,9,20.0,15.7,28.3,55.3,176.3,1.2,35.1,134.2,3.8,1.1,63.4,310.6,4.9,7.7,7.3,2.7,17.6,6.0,52.6,0.9,0.3,1.2,2019
24,Western Kentucky,10,20.5,13.4,25.2,53.2,180.8,1.2,36.1,138.9,3.8,1.1,61.3,319.7,5.2,6.3,8.1,1.5,15.9,5.6,55.1,0.1,0.8,0.9,2019
25,California,9,20.7,22.2,36.3,61.2,234.7,1.0,37.6,144.6,3.8,1.3,73.9,379.2,5.1,11.6,8.6,1.2,21.3,7.4,71.9,0.8,0.4,1.2,2019
26,Minnesota,9,20.7,16.2,30.3,53.5,185.7,0.9,32.1,124.1,3.9,1.2,62.4,309.8,5.0,9.6,7.2,1.6,18.3,5.4,46.6,0.3,1.6,1.9,2019
27,Kentucky,9,20.8,16.3,27.8,58.8,184.1,0.7,33.1,165.7,5.0,1.9,60.9,349.8,5.7,8.3,7.6,1.9,17.8,6.2,54.7,0.8,0.6,1.3,2019
28,Pitt,10,20.8,17.4,34.9,49.9,207.1,1.4,32.8,90.9,2.8,0.9,67.7,298.0,4.4,7.9,5.9,3.5,17.3,4.8,51.0,0.4,0.8,1.2,2019
