off_Rk,School,G,Pts,pass_cmp,pass_Att,cmp_Pct,pass_Yds,pass_TD,rush_Att,rush_Yds,rush_Avg,rush_TD,Plays,Yds,Avg_Yds,1st_down_Pass,1st_down_Rush,1st_down_Pen,1st_down_Tot,pen_No.,pen_Yds,Fum,Int,TO_Tot,year
1,Ohio State,10,51.5,19.0,27.8,68.3,254.3,3.8,46.6,287.7,6.2,3.1,74.4,542.0,7.3,11.8,14.5,2.3,28.6,5.8,56.2,0.8,0.1,0.9,2019
2,LSU,10,47.8,28.5,37.0,77.0,390.3,3.5,35.6,166.0,4.7,2.1,72.6,556.3,7.7,15.8,10.5,1.6,27.6,5.9,58.9,0.4,0.7,1.1,2019
3,Oklahoma,10,47.0,20.4,28.5,71.6,334.0,3.1,37.8,247.3,6.5,2.8,66.3,581.3,8.8,13.7,11.3,1.2,25.9,7.3,78.9,0.7,0.6,1.3,2019
4,Alabama,10,46.8,23.3,32.7,71.3,347.7,3.8,32.5,162.9,5.0,2.0,65.2,510.6,7.8,13.7,9.4,1.7,24.7,7.3,68.9,0.3,0.4,0.7,2019
5,Clemson,11,45.9,21.9,33.4,65.7,282.5,2.8,39.2,260.5,6.6,3.1,72.5,543.1,7.5,12.7,11.6,2.1,26.5,5.7,45.7,0.4,0.9,1.3,2019
6,SMU,10,45.1,25.4,39.7,64.0,328.1,2.7,43.5,194.1,4.5,3.0,83.2,522.2,6.3,13.0,9.8,3.7,26.5,7.0,65.3,0.4,0.9,1.3,2019
7,UCF,10,44.8,20.5,33.9,60.5,321.4,3.0,42.8,220.2,5.1,2.8,76.7,541.6,7.1,11.5,11.1,3.1,25.7,8.3,70.7,0.7,0.7,1.4,2019
8,Memphis,10,41.5,19.6,29.1,67.4,297.7,2.8,37.6,184.6,4.9,2.1,66.7,482.3,7.2,11.5,8.2,2.6,22.3,8.1,67.7,0.9,0.5,1.4,2019
9,Washington State,10,40.3,37.9,53.6,70.7,441.8,4.1,16.7,81.0,4.9,0.9,70.3,522.8,7.4,19.9,4.2,1.7,25.8,6.5,62.9,0.5,1.1,1.6,2019
10,Troy,10,39.0,27.1,40.4,67.1,323.4,3.0,34.3,155.2,4.5,1.8,74.7,478.6,6.4,13.9,8.9,2.4,25.2,5.4,53.1,0.6,0.7,1.3,2019
11,Appalachian State,10,38.4,17.1,27.6,62.0,201.7,2.0,42.2,223.8,5.3,2.5,69.8,425.5,6.1,9.1,10.4,1.0,20.5,6.4,61.0,0.1,0.5,0.6,2019
12,Louisiana,10,38.2,18.2,27.8,65.5,210.0,1.7,42.2,278.4,6.6,3.4,70.0,488.4,7.0,10.3,13.7,1.4,25.4,6.7,61.5,0.8,0.3,1.1,2019
13,Navy,9,37.9,4.1,8.2,50.0,96.7,0.8,59.1,349.7,5.9,4.1,67.3,446.3,6.6,3.1,18.4,0.9,22.4,4.3,38.1,1.3,0.4,1.8,2019
14,Oregon,10,37.8,21.2,30.4,69.7,247.3,2.7,33.1,169.4,5.1,1.6,63.5,416.7,6.6,12.1,8.1,2.2,22.4,5.9,63.3,0.4,0.2,0.6,2019
15,Penn State,10,36.8,18.2,30.6,59.5,253.5,2.3,37.6,174.9,4.7,2.4,68.2,428.4,6.3,11.7,8.6,1.6,21.8,4.7,51.2,0.5,0.6,1.1,2019
16,Oklahoma State,10,36.5,17.3,27.2,63.6,232.9,1.9,46.3,265.7,5.7,2.5,73.5,498.6,6.8,8.5,12.0,2.6,23.1,5.7,52.0,0.7,1.1,1.8,2019
17,Boise State,10,36.1,18.7,30.3,61.7,252.2,1.9,35.0,151.7,4.3,1.9,65.3,403.9,6.2,10.8,8.7,1.7,21.2,5.6,54.5,0.6,0.7,1.3,2019
18,Texas,10,36.1,25.2,38.6,65.3,300.6,2.7,36.2,161.9,4.5,1.7,74.8,462.5,6.2,14.0,9.4,1.9,25.3,7.3,64.8,0.4,0.8,1.2,2019
19,Notre Dame,10,36.0,18.9,31.7,59.6,253.2,2.9,35.3,169.8,4.8,1.6,67.0,423.0,6.3,9.9,8.6,1.9,20.4,6.2,50.7,0.5,0.6,1.1,2019
20,Western Michigan,11,36.0,19.1,31.3,61.0,250.0,1.8,39.8,217.2,5.5,3.0,71.1,467.2,6.6,10.4,10.8,1.9,23.1,6.6,60.9,0.4,0.6,1.0,2019
21,Hawaii,11,35.8,27.3,43.3,63.0,340.7,2.9,28.7,151.5,5.3,1.5,72.0,492.3,6.8,15.4,8.8,1.5,25.7,7.1,65.0,1.1,1.4,2.5,2019
22,Minnesota,10,35.7,15.7,23.3,67.4,250.7,2.2,44.6,182.0,4.1,2.3,67.9,432.7,6.4,10.5,10.8,1.3,22.6,4.2,40.1,0.6,0.5,1.1,2019
23,Louisiana Tech,10,35.3,23.1,36.1,64.0,282.3,1.5,36.6,175.0,4.8,2.5,72.7,457.3,6.3,12.7,9.9,2.0,24.6,5.3,44.5,0.7,0.9,1.6,2019
24,Georgia State,10,35.1,18.6,30.4,61.2,203.1,1.9,47.3,265.8,5.6,2.6,77.7,468.9,6.0,10.0,13.4,1.3,24.7,4.6,45.1,0.7,0.7,1.4,2019
25,Iowa State,10,35.1,25.3,37.9,66.8,326.3,2.4,32.5,152.0,4.7,1.9,70.4,478.3,6.8,15.4,7.6,2.0,25.0,4.6,38.6,0.5,0.8,1.3,2019
26,Baylor,10,34.9,20.5,30.8,66.6,263.6,1.9,36.3,180.7,5.0,2.5,67.1,444.3,6.6,11.4,9.6,2.2,22.8,6.6,55.3,0.9,0.5,1.4,2019
27,Tulane,10,34.9,14.9,25.4,58.7,204.1,1.5,45.6,255.4,5.6,2.9,71.0,459.5,6.5,8.8,13.2,1.3,23.3,8.3,74.2,0.6,1.0,1.6,2019
28,Air Force,10,34.8,4.9,9.7,50.5,110.2,0.9,58.2,314.4,5.4,3.4,67.9,424.6,6.3,3.9,17.6,0.5,22.0,3.5,30.3,1.0,0.5,1.5,2019
29,Utah,10,34.7,16.7,22.8,73.2,248.3,1.4,42.8,207.1,4.8,2.7,65.6,455.4,6.9,9.5,10.8,2.0,22.3,6.2,51.9,0.9,0.1,1.0,2019
30,Wisconsin,10,34.6,17.6,24.1,73.0,189.9,1.3,44.2,236.0,5.3,2.7,68.3,425.9,6.2,9.6,12.5,0.7,22.8,4.6,42.8,1.0,0.3,1.3,2019
31,Texas A&M,10,34.0,22.4,35.7,62.7,259.3,2.0,33.8,175.4,5.2,2.0,69.5,434.7,6.3,13.0,9.4,1.6,24.0,6.3,55.8,0.7,0.7,1.4,2019
32,Ball State,10,33.9,19.7,30.8,64.0,239.8,2.0,41.8,204.8,4.9,2.0,72.6,444.6,6.1,11.3,8.8,2.2,23.4,6.3,57.7,0.7,0.7,1.4,2019
33,Boston College,10,33.8,13.5,24.6,54.9,201.5,1.9,52.8,281.7,5.3,2.5,77.4,483.2,6.2,8.2,14.5,1.0,23.7,5.4,38.6,0.5,0.5,1.0,2019
