Rk,School,Conf,W,L,T,Pct,W,L,T,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes,year
1,Clemson,ACC (Atlantic),10,0,1.000,7,0,1.000,45.3,11.5,19.37,-1.93,3,1,1,,2019,,
2,Wake Forest,ACC (Atlantic),7,2,.778,3,2,.600,35.7,25.9,5.62,-2.16,,,19,,2019,,
3,Florida State,ACC (Atlantic),5,5,.500,4,4,.500,28.3,29.0,3.94,4.04,,,,,2019,,
4,Louisville,ACC (Atlantic),5,4,.556,3,3,.500,32.1,34.1,2.45,4.12,,,,,2019,,
5,Boston College,ACC (Atlantic),5,5,.500,3,4,.429,33.8,32.1,1.24,-0.86,,,,,2019,,
6,North Carolina State,ACC (Atlantic),4,5,.444,1,4,.200,23.2,28.7,-4.85,-0.63,,,,,2019,,
7,Syracuse,ACC (Atlantic),3,6,.333,0,5,.000,24.1,30.7,-4.00,0.11,,22,21,,2019,,
8,Virginia,ACC (Coastal),7,3,.700,5,2,.714,31.0,22.5,6.46,-0.14,,,18,,2019,,
9,Pitt,ACC (Coastal),7,3,.700,4,2,.667,22.2,20.8,4.53,2.03,,,,,2019,,
10,Virginia Tech,ACC (Coastal),6,3,.667,3,2,.600,29.8,27.2,1.86,-1.81,,,,,2019,,
11,Miami (FL),ACC (Coastal),6,4,.600,4,3,.571,29.3,19.2,7.09,1.19,,,,,2019,,
12,Duke,ACC (Coastal),4,5,.444,2,3,.400,27.0,27.2,2.84,2.51,,,,,2019,,
13,North Carolina,ACC (Coastal),4,6,.400,3,4,.429,27.8,27.8,4.89,5.39,,,,,2019,,
14,Georgia Tech,ACC (Coastal),2,7,.222,1,5,.167,18.3,29.6,-6.67,3.33,,,,,2019,,
15,Cincinnati,American (East),8,1,.889,5,0,1.000,32.7,21.0,13.77,3.10,17,,17,,2019,,
16,UCF,American (East),7,3,.700,4,2,.667,44.8,23.6,11.36,-0.74,,17,15,,2019,,
17,Temple,American (East),6,3,.667,3,2,.600,26.4,25.4,2.33,0.55,,,,,2019,,
18,South Florida,American (East),4,5,.444,2,3,.400,24.0,27.1,-0.08,1.03,,,,,2019,,
19,East Carolina,American (East),3,7,.300,0,6,.000,26.6,33.1,-6.74,-0.04,,,,,2019,,
20,Connecticut,American (East),2,8,.200,0,6,.000,18.6,40.6,-12.00,1.10,,,,,2019,,
21,SMU,American (West),9,1,.900,5,1,.833,45.1,32.7,12.81,0.51,20,,15,,2019,,
22,Memphis,American (West),8,1,.889,4,1,.800,41.1,25.8,13.74,0.74,18,,18,,2019,,
23,Navy,American (West),7,1,.875,5,1,.833,40.1,18.1,15.09,-0.41,21,,21,,2019,,
24,Tulane,American (West),6,3,.667,3,2,.600,36.4,25.4,6.54,0.87,,,,,2019,,
25,Houston,American (West),3,6,.333,1,4,.200,30.7,32.6,0.89,3.22,,,,,2019,,
26,Tulsa,American (West),3,7,.300,1,5,.167,25.4,32.8,1.91,8.81,,,,,2019,,
27,Baylor,Big 12,9,0,1.000,6,0,1.000,35.3,19.0,12.80,-0.64,12,,11,,2019,,
28,Oklahoma,Big 12,8,1,.889,5,1,.833,48.4,25.0,17.42,1.31,10,4,4,,2019,,
29,Texas,Big 12,6,3,.667,4,2,.667,37.8,30.7,11.60,5.37,22,10,9,,2019,,
30,Kansas State,Big 12,6,3,.667,3,3,.500,32.3,21.1,9.61,3.61,,,20,,2019,,
31,Oklahoma State,Big 12,6,3,.667,3,3,.500,37.1,29.3,10.46,4.79,25,,21,,2019,,
32,Iowa State,Big 12,5,4,.556,3,3,.500,36.4,25.0,11.20,4.42,,21,21,,2019,,
33,Texas Christian,Big 12,4,5,.444,2,4,.333,32.2,26.4,8.33,5.33,,,25,,2019,,
